"Age (years)","Series 1 (y)","Series 1 (value)"
22,"Brain - Cerebellum",2.01929059449682
22,"Brain - Anterior cingulate cortex (BA24)",2.04815139135168
22,"Brain - Caudate (basal ganglia)",2.44348468582302
22,"Lung",1.43260405550793
22,"Pituitary",1.81872670020772
22,"Vagina",1.57880193024255
22,"Brain - Putamen (basal ganglia)",2.36701184227574
22,"Brain - Cerebellar Hemisphere",2.17797264100233
22,"Brain - Nucleus accumbens (basal ganglia)",2.24144524242188
22,"Brain - Substantia nigra",2.23110204039914
22,"Minor Salivary Gland",0.943012569965699
22,"Thyroid",0.758903342473846
22,"Cells - EBV-transformed lymphocytes",-0.387597878212966
22,"Brain - Hippocampus",1.65325740534514
22,"Brain - Hypothalamus",1.37680597033182
22,"Artery - Tibial",1.32729211292666
22,"Brain - Frontal Cortex (BA9)",1.13227926749359
23,"Testis",-0.0619132219990418
23,"Cells - Cultured fibroblasts",-0.621439765422168
23,"Stomach",-0.966303918064272
23,"Colon - Sigmoid",-1.38942942871674
23,"Kidney - Cortex",
23,"Adipose - Visceral (Omentum)",-2.17996930502235
23,"Prostate",-1.75185075612901
23,"Skin - Sun Exposed (Lower leg)",-1.16850105345274
23,"Heart - Left Ventricle",-1.35511825030771
23,"Small Intestine - Terminal Ileum",-1.25276073294485
23,"Ovary",-0.672489073296178
23,"Adrenal Gland",-0.601337234155355
23,"Colon - Transverse",-1.2509281281806
23,"Spleen",-1.04393525179179
23,"Nerve - Tibial",0.14676188253906
23,"Pancreas",-0.0805729940648953
23,"Esophagus - Muscularis",-1.75855460516335
23,"Artery - Aorta",-2.15398230494463
23,"Skin - Not Sun Exposed (Suprapubic)",-1.84713437241662
23,"Artery - Coronary",-1.08438083853625
23,"Liver",-0.936889145405487
23,"Heart - Atrial Appendage",-1.87661795543507
23,"Brain - Amygdala",-0.159272803736345
23,"Uterus",-0.840516805958962
23,"Brain - Spinal cord (cervical c-1)",0.632127688595561
23,"Muscle - Skeletal",-0.623734599155173
23,"Esophagus - Gastroesophageal Junction",1.46648610620875
23,"Adipose - Subcutaneous",2.27147882355998
23,"Esophagus - Mucosa",2.05349151273386
23,"Breast - Mammary Tissue",1.81708808481721
23,"Whole Blood",1.79365092284031
23,"Brain - Cortex",1.88054549630105
23,"Brain - Cerebellum",1.82813954787947
23,"Brain - Anterior cingulate cortex (BA24)",1.88733302918833
23,"Brain - Caudate (basal ganglia)",2.25951352001663
23,"Lung",1.48332999340908
23,"Pituitary",1.68323095809522
23,"Vagina",1.5471662811951
23,"Brain - Putamen (basal ganglia)",2.10009512249887
23,"Brain - Cerebellar Hemisphere",1.96098905202754
23,"Brain - Nucleus accumbens (basal ganglia)",1.95119419196638
23,"Brain - Substantia nigra",1.9895293063722
23,"Minor Salivary Gland",1.0071949403176
23,"Thyroid",0.83387782917943
23,"Cells - EBV-transformed lymphocytes",-0.101690085244295
23,"Brain - Hippocampus",1.53719323026727
23,"Brain - Hypothalamus",1.35283822289493
23,"Artery - Tibial",1.25962857610502
23,"Brain - Frontal Cortex (BA9)",1.12838633524946
24,"Testis",-0.288430052502357
24,"Cells - Cultured fibroblasts",-0.743458609038223
24,"Stomach",-0.956094031693097
24,"Colon - Sigmoid",-1.32131128670303
24,"Kidney - Cortex",
24,"Adipose - Visceral (Omentum)",-1.96136084244036
24,"Prostate",-1.66792807043119
24,"Skin - Sun Exposed (Lower leg)",-1.08539260849272
24,"Heart - Left Ventricle",-1.30874809582409
24,"Small Intestine - Terminal Ileum",-1.13369866720154
24,"Ovary",-0.297618292387381
24,"Adrenal Gland",-0.533070928251552
24,"Colon - Transverse",-1.08293679844889
24,"Spleen",-0.925409189786015
24,"Nerve - Tibial",0.218610974388936
24,"Pancreas",-0.103263172265801
24,"Esophagus - Muscularis",-1.49299898320794
24,"Artery - Aorta",-1.90541311015681
24,"Skin - Not Sun Exposed (Suprapubic)",-1.55659530192348
24,"Artery - Coronary",-0.876893655577476
24,"Liver",-0.688660542492957
24,"Heart - Atrial Appendage",-1.48686828131149
24,"Brain - Amygdala",0.0291570542485668
24,"Uterus",-0.616109572357397
24,"Brain - Spinal cord (cervical c-1)",0.517265940146588
24,"Muscle - Skeletal",-0.492962490419887
24,"Esophagus - Gastroesophageal Junction",1.14092361856279
24,"Adipose - Subcutaneous",2.03836303020183
24,"Esophagus - Mucosa",1.86613616443841
24,"Breast - Mammary Tissue",1.75462237597326
24,"Whole Blood",1.71898323982653
24,"Brain - Cortex",1.70363397093505
24,"Brain - Cerebellum",1.6455038770698
24,"Brain - Anterior cingulate cortex (BA24)",1.73073076127121
24,"Brain - Caudate (basal ganglia)",2.0800882189209
24,"Lung",1.51351594106016
24,"Pituitary",1.555517461306
24,"Vagina",1.50505863823281
24,"Brain - Putamen (basal ganglia)",1.84029737605544
24,"Brain - Cerebellar Hemisphere",1.74641860202958
24,"Brain - Nucleus accumbens (basal ganglia)",1.67634351305053
24,"Brain - Substantia nigra",1.7535928906378
24,"Minor Salivary Gland",1.06183946461252
24,"Thyroid",0.897820080353478
24,"Cells - EBV-transformed lymphocytes",0.156771049233325
24,"Brain - Hippocampus",1.42427215224743
24,"Brain - Hypothalamus",1.32091655102679
24,"Artery - Tibial",1.1922414108013
24,"Brain - Frontal Cortex (BA9)",1.12101740049079
25,"Testis",-0.49461065163436
25,"Cells - Cultured fibroblasts",-0.852162490292832
25,"Stomach",-0.944643688251963
25,"Colon - Sigmoid",-1.25475392880484
25,"Kidney - Cortex",
25,"Adipose - Visceral (Omentum)",-1.75403608776025
25,"Prostate",-1.58428345322675
25,"Skin - Sun Exposed (Lower leg)",-1.00890576671558
25,"Heart - Left Ventricle",-1.26138906336364
25,"Small Intestine - Terminal Ileum",-1.02502960762308
25,"Ovary",0.0386629261767846
25,"Adrenal Gland",-0.476355435311486
25,"Colon - Transverse",-0.929600127993839
25,"Spleen",-0.81779030217189
25,"Nerve - Tibial",0.275867088304542
25,"Pancreas",-0.126389467491534
25,"Esophagus - Muscularis",-1.2458829836729
25,"Artery - Aorta",-1.6687636124903
25,"Skin - Not Sun Exposed (Suprapubic)",-1.28327056465628
25,"Artery - Coronary",-0.678917543344335
25,"Liver",-0.459380808244362
25,"Heart - Atrial Appendage",-1.12428549574906
25,"Brain - Amygdala",0.205704183874697
25,"Uterus",-0.403460380223126
25,"Brain - Spinal cord (cervical c-1)",0.429263665042096
25,"Muscle - Skeletal",-0.367156630162563
25,"Esophagus - Gastroesophageal Junction",0.837173080262277
25,"Adipose - Subcutaneous",1.81530954945416
25,"Esophagus - Mucosa",1.68313788230667
25,"Breast - Mammary Tissue",1.68533501841422
25,"Whole Blood",1.63819734194404
25,"Brain - Cortex",1.53253442088131
25,"Brain - Cerebellum",1.47140083747131
25,"Brain - Anterior cingulate cortex (BA24)",1.57841240209981
25,"Brain - Caudate (basal ganglia)",1.9053302754624
25,"Lung",1.5241067789591
25,"Pituitary",1.43510367821634
25,"Vagina",1.45313171191926
25,"Brain - Putamen (basal ganglia)",1.58818527885369
25,"Brain - Cerebellar Hemisphere",1.53509431342904
25,"Brain - Nucleus accumbens (basal ganglia)",1.41676858770416
25,"Brain - Substantia nigra",1.52393442529312
25,"Minor Salivary Gland",1.10709279493215
25,"Thyroid",0.950813374879062
25,"Cells - EBV-transformed lymphocytes",0.388671969504881
25,"Brain - Hippocampus",1.31455476098003
25,"Brain - Hypothalamus",1.28158739463005
25,"Artery - Tibial",1.12518797256797
25,"Brain - Frontal Cortex (BA9)",1.11015599399383
26,"Testis",-0.680481229480491
26,"Cells - Cultured fibroblasts",-0.947854177149447
26,"Stomach",-0.932021086782628
26,"Colon - Sigmoid",-1.18971879081295
26,"Kidney - Cortex",
26,"Adipose - Visceral (Omentum)",-1.5577397502316
26,"Prostate",-1.50074715131075
26,"Skin - Sun Exposed (Lower leg)",-0.938705055105411
26,"Heart - Left Ventricle",-1.21297055486769
26,"Small Intestine - Terminal Ileum",-0.927797749714426
26,"Ovary",0.336381133297153
26,"Adrenal Gland",-0.430517253436518
26,"Colon - Transverse",-0.790406621999996
26,"Spleen",-0.72092703557657
26,"Nerve - Tibial",0.319091661799809
26,"Pancreas",-0.149828896933034
26,"Esophagus - Muscularis",-1.0173369151176
26,"Artery - Aorta",-1.44406528973498
26,"Skin - Not Sun Exposed (Suprapubic)",-1.02696209122669
26,"Artery - Coronary",-0.491019090075389
26,"Liver",-0.249066454144597
26,"Heart - Atrial Appendage",-0.788805991795528
26,"Brain - Amygdala",0.37013322473144
26,"Uterus",-0.202613532335708
26,"Brain - Spinal cord (cervical c-1)",0.365967045263415
26,"Muscle - Skeletal",-0.246479867242188
26,"Esophagus - Gastroesophageal Junction",0.555386171419265
26,"Adipose - Subcutaneous",1.60220625428675
26,"Esophagus - Mucosa",1.50463260018463
26,"Breast - Mammary Tissue",1.60948598625726
26,"Whole Blood",1.55171215973561
26,"Brain - Cortex",1.36728472517119
26,"Brain - Cerebellum",1.30584768448754
26,"Brain - Anterior cingulate cortex (BA24)",1.43044576617358
26,"Brain - Caudate (basal ganglia)",1.73536118256767
26,"Lung",1.51604738760377
26,"Pituitary",1.32150707720234
26,"Vagina",1.39203821281801
26,"Brain - Putamen (basal ganglia)",1.34432550680186
26,"Brain - Cerebellar Hemisphere",1.32784920864658
26,"Brain - Nucleus accumbens (basal ganglia)",1.17234479795727
26,"Brain - Substantia nigra",1.30119554243537
26,"Minor Salivary Gland",1.14310158335827
26,"Thyroid",0.992940991638793
26,"Cells - EBV-transformed lymphocytes",0.594899119855356
26,"Brain - Hippocampus",1.20810164615948
26,"Brain - Hypothalamus",1.23539719360744
26,"Artery - Tibial",1.05852561695771
26,"Brain - Frontal Cortex (BA9)",1.09578564653488
27,"Testis",-0.846067996126304
27,"Cells - Cultured fibroblasts",-1.03083643757172
27,"Stomach",-0.91829442632649
27,"Colon - Sigmoid",-1.12616730851813
27,"Kidney - Cortex",-0.938746337835171
27,"Adipose - Visceral (Omentum)",-1.3722165391039
27,"Prostate",-1.41714941147819
27,"Skin - Sun Exposed (Lower leg)",-0.874455000646261
27,"Heart - Left Ventricle",-1.16342197227763
27,"Small Intestine - Terminal Ileum",-0.843047288980417
27,"Ovary",0.595562879874558
27,"Adrenal Gland",-0.394882880727839
27,"Colon - Transverse",-0.664844785651876
27,"Spleen",-0.634667836627038
