"Age (years)","Series 1 (y)","Series 1 (value)"
20,"Artery - Coronary",-0.789064068846349
20,"Prostate",
20,"Minor Salivary Gland",
20,"Ovary",
20,"Brain - Cortex",-0.463638107447649
20,"Cells - EBV-transformed lymphocytes",
20,"Testis",1.94374027390414
20,"Uterus",
20,"Pancreas",
20,"Stomach",
20,"Brain - Substantia nigra",1.24166222456207
20,"Kidney - Cortex",
20,"Adipose - Subcutaneous",
20,"Adipose - Visceral (Omentum)",
20,"Brain - Amygdala",3.25811691462495
20,"Skin - Not Sun Exposed (Suprapubic)",3.10161530213346
20,"Brain - Hypothalamus",3.13125727473436
20,"Brain - Nucleus accumbens (basal ganglia)",2.70113831408201
20,"Brain - Hippocampus",2.0227447831525
20,"Brain - Spinal cord (cervical c-1)",
20,"Brain - Putamen (basal ganglia)",2.40354673933368
20,"Esophagus - Mucosa",2.22992109356372
20,"Artery - Tibial",1.48999547524693
20,"Cells - Cultured fibroblasts",-0.551593368374126
20,"Breast - Mammary Tissue",
20,"Lung",
20,"Thyroid",2.77223354101343
20,"Brain - Cerebellar Hemisphere",3.46880991451583
20,"Brain - Frontal Cortex (BA9)",3.40919053524389
20,"Pituitary",3.28608316343772
20,"Brain - Anterior cingulate cortex (BA24)",2.74090819535815
20,"Brain - Cerebellum",3.17216397665513
20,"Muscle - Skeletal",2.3042829882446
20,"Esophagus - Gastroesophageal Junction",3.36987173909815
20,"Skin - Sun Exposed (Lower leg)",
20,"Brain - Caudate (basal ganglia)",
20,"Esophagus - Muscularis",-3.06058504350773
20,"Heart - Atrial Appendage",-2.84400610992206
20,"Liver",
20,"Heart - Left Ventricle",-1.55041956985577
20,"Small Intestine - Terminal Ileum",
20,"Adrenal Gland",
20,"Vagina",
20,"Artery - Aorta",
20,"Colon - Sigmoid",-0.260723603769128
20,"Nerve - Tibial",1.3661808043471
20,"Spleen",
20,"Colon - Transverse",
20,"Whole Blood",0.747712537645864
21,"Artery - Coronary",-0.574820415217383
21,"Prostate",-2.08138956114354
21,"Minor Salivary Gland",-0.93643146084611
21,"Ovary",-1.16754171192445
21,"Brain - Cortex",-0.452687773087003
21,"Cells - EBV-transformed lymphocytes",-2.60213182206311
21,"Testis",1.60470722302012
21,"Uterus",1.92455017862911
21,"Pancreas",2.31461983906841
21,"Stomach",1.17486945721085
21,"Brain - Substantia nigra",1.11458708613742
21,"Kidney - Cortex",
21,"Adipose - Subcutaneous",3.26905545596808
21,"Adipose - Visceral (Omentum)",3.1768005757055
21,"Brain - Amygdala",2.8773752997666
21,"Skin - Not Sun Exposed (Suprapubic)",2.74238423307962
21,"Brain - Hypothalamus",2.76428376450667
21,"Brain - Nucleus accumbens (basal ganglia)",2.44547069016654
21,"Brain - Hippocampus",1.87448775125914
21,"Brain - Spinal cord (cervical c-1)",
21,"Brain - Putamen (basal ganglia)",2.14682804981746
21,"Esophagus - Mucosa",2.05624195963167
21,"Artery - Tibial",1.21910212621476
21,"Cells - Cultured fibroblasts",-0.467598935379591
21,"Breast - Mammary Tissue",2.39665992544738
21,"Lung",3.00079762225775
21,"Thyroid",2.38363855587268
21,"Brain - Cerebellar Hemisphere",2.97087811279952
21,"Brain - Frontal Cortex (BA9)",2.92581671593518
21,"Pituitary",2.76185287355115
21,"Brain - Anterior cingulate cortex (BA24)",2.33218182389738
21,"Brain - Cerebellum",2.71398051289793
21,"Muscle - Skeletal",1.82283615292215
21,"Esophagus - Gastroesophageal Junction",2.81139395946365
21,"Skin - Sun Exposed (Lower leg)",2.58047500980534
21,"Brain - Caudate (basal ganglia)",
21,"Esophagus - Muscularis",-2.68473084093096
21,"Heart - Atrial Appendage",-2.56548648767048
21,"Liver",-2.44934503064528
21,"Heart - Left Ventricle",-1.48851843978433
21,"Small Intestine - Terminal Ileum",-1.85234471165319
21,"Adrenal Gland",1.00056012537688
21,"Vagina",0.0655332318010659
21,"Artery - Aorta",-0.121896898504662
21,"Colon - Sigmoid",-0.412635187342314
21,"Nerve - Tibial",1.05080055063408
21,"Spleen",0.743744118248292
21,"Colon - Transverse",1.23465536807892
21,"Whole Blood",0.457367444327464
22,"Artery - Coronary",-0.375311672554188
22,"Prostate",-1.64987223634083
22,"Minor Salivary Gland",-0.571350994944074
22,"Ovary",-0.781923527615183
