"Age (years)","Series 1 (y)","Series 1 (value)"
20,"Adipose - Subcutaneous",
20,"Ovary",
20,"Small Intestine - Terminal Ileum",
20,"Heart - Atrial Appendage",-1.69394617450575
20,"Adipose - Visceral (Omentum)",
20,"Artery - Aorta",
20,"Brain - Spinal cord (cervical c-1)",
20,"Heart - Left Ventricle",-2.15190793122346
20,"Liver",
20,"Muscle - Skeletal",-2.65906652936524
20,"Colon - Sigmoid",-0.886833590686824
20,"Uterus",
20,"Brain - Cerebellar Hemisphere",2.06918668225522
20,"Brain - Cerebellum",1.8999567376843
20,"Esophagus - Gastroesophageal Junction",0.552026717292463
20,"Thyroid",0.446371816693332
20,"Brain - Anterior cingulate cortex (BA24)",2.58922533552707
20,"Brain - Cortex",1.72660114939145
20,"Brain - Frontal Cortex (BA9)",2.19398221986568
20,"Adrenal Gland",
20,"Skin - Sun Exposed (Lower leg)",
20,"Lung",
20,"Brain - Caudate (basal ganglia)",
20,"Brain - Putamen (basal ganglia)",3.06648228746735
20,"Brain - Nucleus accumbens (basal ganglia)",2.93771028351392
20,"Brain - Hypothalamus",2.13149561314485
20,"Skin - Not Sun Exposed (Suprapubic)",2.21051328109285
20,"Spleen",
20,"Cells - Cultured fibroblasts",0.669854408388831
20,"Whole Blood",0.436647441587472
20,"Esophagus - Muscularis",-1.44973012789118
20,"Colon - Transverse",
20,"Pancreas",
20,"Cells - EBV-transformed lymphocytes",
20,"Prostate",
20,"Artery - Tibial",-1.75069472798987
20,"Artery - Coronary",-2.74064823681064
20,"Esophagus - Mucosa",-2.42986247518593
20,"Stomach",
20,"Nerve - Tibial",-1.53770210421653
20,"Vagina",
20,"Brain - Amygdala",-1.34712240358964
20,"Breast - Mammary Tissue",
20,"Kidney - Cortex",
20,"Testis",1.09359423298271
20,"Minor Salivary Gland",
20,"Brain - Substantia nigra",0.250383316302124
20,"Brain - Hippocampus",0.98951527565181
20,"Pituitary",0.394809894209679
21,"Adipose - Subcutaneous",-1.10767309515377
21,"Ovary",-1.90864554785265
21,"Small Intestine - Terminal Ileum",-1.9503568307838
21,"Heart - Atrial Appendage",-1.57141391664789
21,"Adipose - Visceral (Omentum)",-1.36113503827441
21,"Artery - Aorta",-1.74595557314778
21,"Brain - Spinal cord (cervical c-1)",
21,"Heart - Left Ventricle",-1.98866132499553
21,"Liver",-2.88211732806284
21,"Muscle - Skeletal",-2.41767620661639
21,"Colon - Sigmoid",-0.843147404778446
21,"Uterus",-0.659058006042702
21,"Brain - Cerebellar Hemisphere",1.61582602623629
21,"Brain - Cerebellum",1.41838371468393
21,"Esophagus - Gastroesophageal Junction",0.298593643339845
21,"Thyroid",0.23081095445726
21,"Brain - Anterior cingulate cortex (BA24)",2.38602187366939
21,"Brain - Cortex",1.63220980446854
21,"Brain - Frontal Cortex (BA9)",2.01199098025489
21,"Adrenal Gland",0.715189856372194
21,"Skin - Sun Exposed (Lower leg)",0.564650505033616
21,"Lung",3.2536897239558
21,"Brain - Caudate (basal ganglia)",
21,"Brain - Putamen (basal ganglia)",2.71150513070001
21,"Brain - Nucleus accumbens (basal ganglia)",2.54561428972683
21,"Brain - Hypothalamus",1.99508270068835
21,"Skin - Not Sun Exposed (Suprapubic)",1.97346519854331
21,"Spleen",2.58925156906076
