"Age (years)","Series 1 (y)","Series 1 (value)"
22,"Colon - Transverse",0.216067323554214
22,"Whole Blood",1.79873363429855
22,"Cells - EBV-transformed lymphocytes",2.02973490918617
22,"Brain - Spinal cord (cervical c-1)",1.63267790672246
22,"Brain - Nucleus accumbens (basal ganglia)",1.4815051559793
22,"Brain - Substantia nigra",1.43271191291508
22,"Kidney - Cortex",
22,"Stomach",-2.20197840291442
22,"Minor Salivary Gland",1.98107568693704
22,"Pituitary",1.97279747027266
22,"Brain - Anterior cingulate cortex (BA24)",2.3021848796775
22,"Skin - Not Sun Exposed (Suprapubic)",2.03223622281287
22,"Skin - Sun Exposed (Lower leg)",0.734011156831233
22,"Adipose - Subcutaneous",2.0925486932147
22,"Uterus",1.00495020035268
22,"Brain - Frontal Cortex (BA9)",1.23916171832818
22,"Artery - Tibial",0.518910168023316
22,"Brain - Hippocampus",0.353021519613772
23,"Liver",-2.27749974313935
23,"Artery - Coronary",-1.90824582413931
23,"Brain - Cerebellar Hemisphere",-1.91467640176089
23,"Esophagus - Mucosa",-1.88891418598879
23,"Spleen",-2.01422938697659
23,"Brain - Hypothalamus",-1.61077097360907
23,"Cells - Cultured fibroblasts",-1.73199305280187
23,"Pancreas",-1.56621047821581
23,"Esophagus - Gastroesophageal Junction",-0.882852984008619
23,"Thyroid",-0.388606241417479
23,"Vagina",0.262459816641102
23,"Adrenal Gland",-0.585874571550484
23,"Brain - Cortex",-1.60992487709921
23,"Heart - Left Ventricle",-0.800711373763026
23,"Ovary",0.172401560341875
23,"Muscle - Skeletal",-1.76949948935394
23,"Heart - Atrial Appendage",-2.07643844943633
23,"Adipose - Visceral (Omentum)",-2.28237762641984
23,"Colon - Sigmoid",-2.01299078604361
23,"Small Intestine - Terminal Ileum",-1.63343069825026
23,"Artery - Aorta",-1.41284515296348
23,"Nerve - Tibial",-1.5090554356587
23,"Brain - Cerebellum",-1.48757743931712
23,"Brain - Caudate (basal ganglia)",-1.98153479283561
23,"Lung",-1.86948564900158
23,"Brain - Putamen (basal ganglia)",-1.43602736375508
23,"Testis",-1.12167096530758
23,"Breast - Mammary Tissue",-0.721615766689604
23,"Prostate",-1.12429174456135
23,"Brain - Amygdala",0.416035957913502
23,"Esophagus - Muscularis",0.0798893060088497
23,"Colon - Transverse",0.206877329509797
23,"Whole Blood",1.4932767429797
23,"Cells - EBV-transformed lymphocytes",1.81249485424222
23,"Brain - Spinal cord (cervical c-1)",1.34708290498323
23,"Brain - Nucleus accumbens (basal ganglia)",1.225647128059
23,"Brain - Substantia nigra",1.1952229523991
23,"Kidney - Cortex",
23,"Stomach",-1.67430486027702
23,"Minor Salivary Gland",1.8469982639722
23,"Pituitary",1.8051974588957
23,"Brain - Anterior cingulate cortex (BA24)",2.08158833247697
23,"Skin - Not Sun Exposed (Suprapubic)",1.89065741038113
23,"Skin - Sun Exposed (Lower leg)",0.669159814734793
23,"Adipose - Subcutaneous",1.90771607366132
23,"Uterus",1.06627353705464
23,"Brain - Frontal Cortex (BA9)",1.18710615025624
23,"Artery - Tibial",0.605519089447586
23,"Brain - Hippocampus",0.408409408609147
24,"Liver",-1.96618937474598
24,"Artery - Coronary",-1.74111936243951
24,"Brain - Cerebellar Hemisphere",-1.6560924514108
24,"Esophagus - Mucosa",-1.64193050982516
24,"Spleen",-1.58416840857923
24,"Brain - Hypothalamus",-1.31780830584824
24,"Cells - Cultured fibroblasts",-1.38719909881004
24,"Pancreas",-1.19471850730703
24,"Esophagus - Gastroesophageal Junction",-0.758327667134694
24,"Thyroid",-0.222471245474107
24,"Vagina",0.313862462301946
24,"Adrenal Gland",-0.669752175280341
24,"Brain - Cortex",-1.4065904112672
24,"Heart - Left Ventricle",-0.90848111776345
24,"Ovary",-0.182805487757684
24,"Muscle - Skeletal",-1.65733566354897
24,"Heart - Atrial Appendage",-1.84507250115471
24,"Adipose - Visceral (Omentum)",-2.02779754079685
24,"Colon - Sigmoid",-1.79651360345922
24,"Small Intestine - Terminal Ileum",-1.57052313682154
24,"Artery - Aorta",-1.35900387608573
24,"Nerve - Tibial",-1.37814078622227
24,"Brain - Cerebellum",-1.43964904901743
24,"Brain - Caudate (basal ganglia)",-1.83775843541223
24,"Lung",-1.7307874663354
24,"Brain - Putamen (basal ganglia)",-1.23612111518457
24,"Testis",-0.987927174143033
24,"Breast - Mammary Tissue",-0.731671655241312
24,"Prostate",-1.17777990069983
24,"Brain - Amygdala",0.483216741168681
24,"Esophagus - Muscularis",0.195210628739537
24,"Colon - Transverse",0.18947678608602
24,"Whole Blood",1.20528594019139
24,"Cells - EBV-transformed lymphocytes",1.59470919636406
24,"Brain - Spinal cord (cervical c-1)",1.07291811454974
24,"Brain - Nucleus accumbens (basal ganglia)",0.979071459327984
24,"Brain - Substantia nigra",0.96231662913327
24,"Kidney - Cortex",
24,"Stomach",-1.18554480167466
24,"Minor Salivary Gland",1.71399332049682
24,"Pituitary",1.6425310623663
24,"Brain - Anterior cingulate cortex (BA24)",1.86850382067439
24,"Skin - Not Sun Exposed (Suprapubic)",1.75101200508774
24,"Skin - Sun Exposed (Lower leg)",0.613198296128505
24,"Adipose - Subcutaneous",1.73288205643341
24,"Uterus",1.11828763528556
24,"Brain - Frontal Cortex (BA9)",1.13101393722024
24,"Artery - Tibial",0.683125664670071
24,"Brain - Hippocampus",0.461975893659798
25,"Liver",-1.67040398322044
25,"Artery - Coronary",-1.57663554234913
25,"Brain - Cerebellar Hemisphere",-1.41589084923972
25,"Esophagus - Mucosa",-1.40791678198047
25,"Spleen",-1.18448774885942
25,"Brain - Hypothalamus",-1.04993819838834
25,"Cells - Cultured fibroblasts",-1.07059016597221
25,"Pancreas",-0.847572459080974
25,"Esophagus - Gastroesophageal Junction",-0.639085454779837
25,"Thyroid",-0.0656519572062431
25,"Vagina",0.362905869680645
25,"Adrenal Gland",-0.739979926685372
25,"Brain - Cortex",-1.20956583308161
25,"Heart - Left Ventricle",-1.00174005899883
25,"Ovary",-0.505429379731706
25,"Muscle - Skeletal",-1.54739894679362
25,"Heart - Atrial Appendage",-1.62566172346573
25,"Adipose - Visceral (Omentum)",-1.78653551608665
25,"Colon - Sigmoid",-1.59014624370809
25,"Small Intestine - Terminal Ileum",-1.50309836037483
25,"Artery - Aorta",-1.30385219203581
25,"Nerve - Tibial",-1.25339542446383
25,"Brain - Cerebellum",-1.38788937301482
25,"Brain - Caudate (basal ganglia)",-1.69767169442209
25,"Lung",-1.59817757589137
25,"Brain - Putamen (basal ganglia)",-1.05301934538902
25,"Testis",-0.86206830942217
25,"Breast - Mammary Tissue",-0.740406276427875
25,"Prostate",-1.21978847516196
25,"Brain - Amygdala",0.540912082462441
25,"Esophagus - Muscularis",0.294391510585492
25,"Colon - Transverse",0.164561523127843
25,"Whole Blood",0.934521717062204
25,"Cells - EBV-transformed lymphocytes",1.377561234712
25,"Brain - Spinal cord (cervical c-1)",0.810649311161789
25,"Brain - Nucleus accumbens (basal ganglia)",0.742181803080525
25,"Brain - Substantia nigra",0.734873415004581
25,"Kidney - Cortex",
25,"Stomach",-0.73532134214403
25,"Minor Salivary Gland",1.58236403654563
25,"Pituitary",1.48502817808014
25,"Brain - Anterior cingulate cortex (BA24)",1.66292405140566
