"Age (years)","Series 1 (y)","Series 1 (value)"
20,"Stomach",
20,"Breast - Mammary Tissue",
20,"Esophagus - Gastroesophageal Junction",-0.493361550001562
20,"Brain - Amygdala",0.147428022090661
20,"Muscle - Skeletal",-0.418733929836305
20,"Pancreas",
20,"Minor Salivary Gland",
20,"Kidney - Cortex",
20,"Pituitary",-1.50232100324337
20,"Prostate",
20,"Cells - EBV-transformed lymphocytes",
20,"Heart - Atrial Appendage",-2.91832096387645
20,"Adipose - Visceral (Omentum)",
20,"Uterus",
20,"Brain - Cerebellum",-2.68650144109752
20,"Brain - Hypothalamus",-2.97397236522961
20,"Brain - Cortex",-3.09026907661511
20,"Skin - Not Sun Exposed (Suprapubic)",-3.4823869136969
20,"Brain - Caudate (basal ganglia)",
20,"Brain - Hippocampus",-2.14519839695817
20,"Spleen",
20,"Brain - Spinal cord (cervical c-1)",
20,"Liver",
20,"Brain - Substantia nigra",-0.192637120494826
20,"Lung",
20,"Brain - Nucleus accumbens (basal ganglia)",0.6394729071864
20,"Brain - Cerebellar Hemisphere",0.813697595485313
20,"Vagina",
20,"Cells - Cultured fibroblasts",0.607540434130738
20,"Thyroid",0.460081442574396
20,"Artery - Aorta",
20,"Colon - Sigmoid",0.0679769564784839
20,"Adipose - Subcutaneous",
20,"Ovary",
20,"Artery - Coronary",2.56112361861144
20,"Testis",2.49485815646181
20,"Artery - Tibial",2.79786948690377
20,"Esophagus - Mucosa",2.29200843229529
20,"Colon - Transverse",
20,"Brain - Anterior cingulate cortex (BA24)",1.37773372398949
20,"Brain - Putamen (basal ganglia)",1.96535539415503
20,"Adrenal Gland",
20,"Esophagus - Muscularis",2.34291166322049
20,"Brain - Frontal Cortex (BA9)",2.55702461031486
20,"Small Intestine - Terminal Ileum",
20,"Heart - Left Ventricle",3.01702973190273
20,"Whole Blood",3.23237672830332
20,"Nerve - Tibial",2.572990128633
20,"Skin - Sun Exposed (Lower leg)",
21,"Stomach",0.552759436757496
21,"Breast - Mammary Tissue",-0.405888550454981
21,"Esophagus - Gastroesophageal Junction",-0.599852701611436
