"Age (years)","Series 1 (y)","Series 1 (value)"
20,"Heart - Left Ventricle",0.749372588764331
20,"Spleen",
20,"Minor Salivary Gland",
20,"Colon - Sigmoid",1.5667460190371
20,"Uterus",
20,"Cells - EBV-transformed lymphocytes",
20,"Lung",
20,"Heart - Atrial Appendage",-3.29173625675804
20,"Small Intestine - Terminal Ileum",
20,"Brain - Cerebellum",-2.3360351032989
20,"Pancreas",
20,"Prostate",
20,"Testis",-1.95364130178932
20,"Brain - Caudate (basal ganglia)",
20,"Brain - Nucleus accumbens (basal ganglia)",2.53929896526527
20,"Adipose - Visceral (Omentum)",
20,"Brain - Hippocampus",2.77249031626448
20,"Brain - Putamen (basal ganglia)",2.96426763030637
20,"Brain - Anterior cingulate cortex (BA24)",2.69965646825485
20,"Muscle - Skeletal",3.03377019440185
20,"Brain - Spinal cord (cervical c-1)",
20,"Esophagus - Gastroesophageal Junction",2.6304722714006
20,"Esophagus - Mucosa",2.97566394103446
20,"Brain - Cerebellar Hemisphere",0.259759095018262
20,"Colon - Transverse",
20,"Esophagus - Muscularis",2.65265416745595
20,"Vagina",
20,"Artery - Coronary",-0.16366128849111
20,"Pituitary",-2.69777336371673
20,"Brain - Cortex",1.035114070875
20,"Stomach",
20,"Whole Blood",0.878107263411007
20,"Ovary",
20,"Adipose - Subcutaneous",
20,"Nerve - Tibial",2.35982342946642
20,"Skin - Sun Exposed (Lower leg)",
20,"Thyroid",2.1551799190424
20,"Cells - Cultured fibroblasts",0.0405048989364339
20,"Kidney - Cortex",
20,"Artery - Aorta",
20,"Brain - Substantia nigra",1.24406235305923
20,"Brain - Amygdala",1.74035005929882
20,"Skin - Not Sun Exposed (Suprapubic)",1.65157640060991
20,"Adrenal Gland",
20,"Brain - Frontal Cortex (BA9)",1.26815221341121
20,"Artery - Tibial",2.12980754738643
20,"Breast - Mammary Tissue",
20,"Brain - Hypothalamus",-0.592211143557459
20,"Liver",
21,"Heart - Left Ventricle",0.670740946906391
21,"Spleen",0.147460072673688
21,"Minor Salivary Gland",-0.524867539178851
21,"Colon - Sigmoid",1.31448483171597
21,"Uterus",1.2744271530474
21,"Cells - EBV-transformed lymphocytes",-2.03814440270136
21,"Lung",-2.83434923530751
21,"Heart - Atrial Appendage",-2.87774080814627
21,"Small Intestine - Terminal Ileum",-3.1111278901773
21,"Brain - Cerebellum",-2.11965110773094
21,"Pancreas",-0.49390965503319
21,"Prostate",-1.02889661168961
21,"Testis",-1.81738114492162
21,"Brain - Caudate (basal ganglia)",
21,"Brain - Nucleus accumbens (basal ganglia)",2.32675214829986
21,"Adipose - Visceral (Omentum)",3.0706359738826
21,"Brain - Hippocampus",2.52805493453742
21,"Brain - Putamen (basal ganglia)",2.6735073607434
21,"Brain - Anterior cingulate cortex (BA24)",2.47316370262727
21,"Muscle - Skeletal",2.71303737967599
21,"Brain - Spinal cord (cervical c-1)",
21,"Esophagus - Gastroesophageal Junction",2.38043438554815
21,"Esophagus - Mucosa",2.56803051206146
21,"Brain - Cerebellar Hemisphere",0.321002979319754
21,"Colon - Transverse",1.63069145862858
21,"Esophagus - Muscularis",2.42741275445174
21,"Vagina",2.30109248123093
21,"Artery - Coronary",-0.219332598684453
21,"Pituitary",-2.2952860253748
21,"Brain - Cortex",0.970901590280487
21,"Stomach",0.941293994930245
21,"Whole Blood",0.876545285308682
21,"Ovary",3.14548042651501
21,"Adipose - Subcutaneous",2.25679575290355
21,"Nerve - Tibial",2.1809720689095
21,"Skin - Sun Exposed (Lower leg)",1.60795602769891
21,"Thyroid",1.89972860233027
21,"Cells - Cultured fibroblasts",0.218332063878615
21,"Kidney - Cortex",
21,"Artery - Aorta",1.76356729442043
21,"Brain - Substantia nigra",1.30227284476902
21,"Brain - Amygdala",1.66083636984525
21,"Skin - Not Sun Exposed (Suprapubic)",1.61659703890381
21,"Adrenal Gland",1.61302275155381
21,"Brain - Frontal Cortex (BA9)",1.26307740803179
21,"Artery - Tibial",1.94550988177502
21,"Breast - Mammary Tissue",1.54029468231721
21,"Brain - Hypothalamus",-0.338046937722893
21,"Liver",0.17122407080499
22,"Heart - Left Ventricle",0.588253052953772
22,"Spleen",-0.0428138730447693
22,"Minor Salivary Gland",-0.631671295020633
22,"Colon - Sigmoid",1.07302366619967
22,"Uterus",1.01536913187043
22,"Cells - EBV-transformed lymphocytes",-1.87248494727179
22,"Lung",-2.53699080559857
22,"Heart - Atrial Appendage",-2.48862997084183
22,"Small Intestine - Terminal Ileum",-2.74493842681812
22,"Brain - Cerebellum",-1.9202467792249
22,"Pancreas",-0.533429050512887
22,"Prostate",-1.08243786514224
22,"Testis",-1.68366323706689
22,"Brain - Caudate (basal ganglia)",2.69843176617807
22,"Brain - Nucleus accumbens (basal ganglia)",2.11874868629357
22,"Adipose - Visceral (Omentum)",2.73690121122482
22,"Brain - Hippocampus",2.2925566844628
