"Age (years)","Series 1 (y)","Series 1 (value)"
20,"Esophagus - Gastroesophageal Junction",0.810683353941081
20,"Prostate",
20,"Whole Blood",0.91048837423561
20,"Cells - Cultured fibroblasts",-0.676766651756106
20,"Kidney - Cortex",
20,"Esophagus - Muscularis",2.79821050552881
20,"Breast - Mammary Tissue",
20,"Spleen",
20,"Lung",
20,"Stomach",
20,"Heart - Atrial Appendage",-1.48208936135661
20,"Pancreas",
20,"Colon - Sigmoid",-1.62494752567658
20,"Colon - Transverse",
20,"Muscle - Skeletal",-1.66619579480715
20,"Vagina",
20,"Minor Salivary Gland",
20,"Artery - Tibial",-1.43015717692604
20,"Brain - Substantia nigra",-0.999365370222771
20,"Small Intestine - Terminal Ileum",
20,"Artery - Aorta",
20,"Brain - Nucleus accumbens (basal ganglia)",-1.63821633635436
20,"Adipose - Subcutaneous",
20,"Ovary",
20,"Adipose - Visceral (Omentum)",
20,"Brain - Hypothalamus",-2.20828468981833
20,"Brain - Cerebellar Hemisphere",-2.68221271491826
20,"Brain - Cortex",-2.77335976879722
20,"Brain - Putamen (basal ganglia)",-2.33447648010199
20,"Brain - Caudate (basal ganglia)",
20,"Brain - Frontal Cortex (BA9)",-1.7517555133005
20,"Brain - Anterior cingulate cortex (BA24)",-0.719127360155684
20,"Brain - Cerebellum",-1.9620016075092
20,"Heart - Left Ventricle",-2.08891254075111
20,"Brain - Amygdala",-2.80835981166882
20,"Uterus",
20,"Artery - Coronary",-1.4563092530866
20,"Testis",-0.503001370169416
20,"Adrenal Gland",
20,"Esophagus - Mucosa",2.0763369182526
20,"Brain - Spinal cord (cervical c-1)",
20,"Cells - EBV-transformed lymphocytes",
20,"Pituitary",2.00381766010163
20,"Nerve - Tibial",2.59273514635432
20,"Thyroid",2.57527562973402
20,"Brain - Hippocampus",1.31742575261909
20,"Skin - Sun Exposed (Lower leg)",
20,"Liver",
20,"Skin - Not Sun Exposed (Suprapubic)",1.8867511602094
21,"Esophagus - Gastroesophageal Junction",0.693914405574628
21,"Prostate",0.956853181341297
21,"Whole Blood",0.63265799481
21,"Cells - Cultured fibroblasts",-0.727045911071379
21,"Kidney - Cortex",
21,"Esophagus - Muscularis",2.33914677188083
21,"Breast - Mammary Tissue",2.58551011207419
21,"Spleen",3.17147160672922
21,"Lung",1.84408394825561
21,"Stomach",0.977036379545454
21,"Heart - Atrial Appendage",-1.34010691603615
21,"Pancreas",-2.00640166542302
21,"Colon - Sigmoid",-1.51039493590578
21,"Colon - Transverse",-0.770312251976414
21,"Muscle - Skeletal",-1.26809623165017
21,"Vagina",-0.321085154881871
21,"Minor Salivary Gland",-1.60777953763942
21,"Artery - Tibial",-1.37492185156043
21,"Brain - Substantia nigra",-1.07687170123284
21,"Small Intestine - Terminal Ileum",-0.743943223499235
21,"Artery - Aorta",-1.31276389941179
21,"Brain - Nucleus accumbens (basal ganglia)",-1.59598710893929
21,"Adipose - Subcutaneous",-2.68478701654962
21,"Ovary",-2.95045469395529
21,"Adipose - Visceral (Omentum)",-2.60054857862321
21,"Brain - Hypothalamus",-2.08073136043765
21,"Brain - Cerebellar Hemisphere",-2.47811489567548
21,"Brain - Cortex",-2.53262652478934
21,"Brain - Putamen (basal ganglia)",-2.17893254815945
21,"Brain - Caudate (basal ganglia)",
21,"Brain - Frontal Cortex (BA9)",-1.73146356078754
21,"Brain - Anterior cingulate cortex (BA24)",-0.739960673633232
21,"Brain - Cerebellum",-1.88982179169127
21,"Heart - Left Ventricle",-1.88951015136803
21,"Brain - Amygdala",-2.43051672878567
21,"Uterus",-0.296439949799908
21,"Artery - Coronary",-1.15195532335679
21,"Testis",-0.346585426073308
21,"Adrenal Gland",1.60706544424839
21,"Esophagus - Mucosa",1.91924589659215
21,"Brain - Spinal cord (cervical c-1)",
21,"Cells - EBV-transformed lymphocytes",1.38859840851951
21,"Pituitary",1.86472788216293
21,"Nerve - Tibial",2.36912244111617
21,"Thyroid",2.37890865752265
21,"Brain - Hippocampus",1.29829103285777
21,"Skin - Sun Exposed (Lower leg)",1.38896743249024
21,"Liver",3.13459105642926
21,"Skin - Not Sun Exposed (Suprapubic)",1.71587994395941
22,"Esophagus - Gastroesophageal Junction",0.579555726115373
22,"Prostate",0.772469241354145
22,"Whole Blood",0.374228763088497
22,"Cells - Cultured fibroblasts",-0.773024373895368
22,"Kidney - Cortex",
22,"Esophagus - Muscularis",1.90589692593073
22,"Breast - Mammary Tissue",2.18397065426564
22,"Spleen",2.63470675491035
22,"Lung",1.48427932412729
22,"Stomach",0.849753235926866
22,"Heart - Atrial Appendage",-1.20081799900893
22,"Pancreas",-1.84680166562702
22,"Colon - Sigmoid",-1.39838070106066
22,"Colon - Transverse",-0.792397685670616
22,"Muscle - Skeletal",-0.907159407311378
22,"Vagina",-0.416218639837721
22,"Minor Salivary Gland",-1.4644781023665
22,"Artery - Tibial",-1.32256676105486
22,"Brain - Substantia nigra",-1.14202059084285
22,"Small Intestine - Terminal Ileum",-0.843348850509083
22,"Artery - Aorta",-1.31831721491231
22,"Brain - Nucleus accumbens (basal ganglia)",-1.55168704441525
22,"Adipose - Subcutaneous",-2.37979383392596
22,"Ovary",-2.58010414334064
22,"Adipose - Visceral (Omentum)",-2.37368001400808
22,"Brain - Hypothalamus",-1.95135945513814
22,"Brain - Cerebellar Hemisphere",-2.2742255322268
22,"Brain - Cortex",-2.30013713918107
22,"Brain - Putamen (basal ganglia)",-2.02628500531484
22,"Brain - Caudate (basal ganglia)",-2.17894243232186
22,"Brain - Frontal Cortex (BA9)",-1.70068468679313
22,"Brain - Anterior cingulate cortex (BA24)",-0.763649196537934
22,"Brain - Cerebellum",-1.81103949928729
22,"Heart - Left Ventricle",-1.70082982637215
22,"Brain - Amygdala",-2.07108361388743
22,"Uterus",-0.122569751544575
22,"Artery - Coronary",-0.86721489863705
22,"Testis",-0.197098495640881
22,"Adrenal Gland",1.46336130512912
22,"Esophagus - Mucosa",1.76819099504436
22,"Brain - Spinal cord (cervical c-1)",2.21643684238929
22,"Cells - EBV-transformed lymphocytes",1.39113958891325
22,"Pituitary",1.73422752377556
22,"Nerve - Tibial",2.15357173764329
22,"Thyroid",2.18682059426929
22,"Brain - Hippocampus",1.27391975826693
22,"Skin - Sun Exposed (Lower leg)",1.26878227538239
22,"Liver",2.73253958311795
22,"Skin - Not Sun Exposed (Suprapubic)",1.55094658736386
23,"Esophagus - Gastroesophageal Junction",0.467773972569983
23,"Prostate",0.596325061946481
23,"Whole Blood",0.134876200692497
23,"Cells - Cultured fibroblasts",-0.814630335246854
23,"Kidney - Cortex",
23,"Esophagus - Muscularis",1.49857066641832
23,"Breast - Mammary Tissue",1.80440684437432
23,"Spleen",2.13021583316468
23,"Lung",1.14858473232556
23,"Stomach",0.722676274139595
23,"Heart - Atrial Appendage",-1.0647237111819
