GeneID,SRR7885663
WNT3A,0.891539
PRSS38,0.0
WNT9A,2.138512
LOC117977353,1.706496
LOC134728880,0.0
ZNF678,7.102377
SNAP47,62.927715
JMJD4,25.487352
OBSCN,7.465878
LOC134729086,0.521164
IBA57,2.308632
LOC134729085,0.613366
GJC2,1.546885
GUK1,118.312408
LOC112438156,0.0
MRPL55,48.047924
C1H1orf35,26.812466
ARF1,438.644684
LOC134729087,0.039346
PSEN2,26.431845
LOC117977320,0.0
LOC129396441,0.166795
ITPKB,30.880678
STUM,4.524164
CDC42BPA,31.24921
LOC134729005,0.052908
COQ8A,11.64478
ACBD3,38.770069
PARP1,138.346008
LIN9,4.417929
LOC112438707,0.0
MIXL1,0.216858
LOC134729043,0.050283
SDE2,22.035118
LOC100970414,1521.460693
LOC134729095,0.0
LEFTY2,0.545573
PYCR2,42.307465
LOC100969502,0.0
TMEM63A,3.700981
EPHX1,56.555805
SRP9,724.562683
LBR,42.385464
LOC117977291,0.34198
ENAH,68.871971
LOC134729198,0.0
DNAH14,7.557816
NVL,14.224528
LOC112438320,0.0
MIR320B-2,0.0
rna-NR_163093.1,0.0
LOC130541207,0.0
LOC112438425,0.464914
CNIH4,31.518023
LOC100990819,2.888021
DEGS1,87.511086
CNIH3,4.721107
LOC117977279,0.142414
WDR26,74.052635
FBXO28,15.531215
TP53BP2,66.391083
CCDC185,0.047754
CAPN8,0.089478
TLR5,0.542575
FAM177B,0.068384
SUSD4,33.157516
DISP1,9.640825
LOC112438696,0.0
CAPN2,105.759163
LOC134729110,0.0
HHIPL2,0.0
LOC129397155,0.754962
LOC129397158,0.468014
LOC117981281,0.0
LOC106634203,3.806624
TAF1A,9.487895
LOC134729116,0.129352
LOC134728749,0.144401
BROX,34.347687
AIDA,69.313362
MIA3,27.937109
LOC117977211,0.208684
LOC134729123,0.0
LOC134729122,0.0
HLX,0.402964
LOC130541036,0.0
LOC130541216,0.0
LOC134729126,0.0
LOC112438282,0.0
DUSP10,10.761026
MTARC1,21.567242
MTARC2,8.218725
C1H1orf115,16.845022
LOC117977176,3.193172
MARK1,37.197098
BPNT1,22.969875
RAB3GAP2,43.764919
LOC100991886,76.895927
LOC112438466,0.0
IARS2,61.319611
LOC117977169,0.34737
LOC112438694,0.531436
EPRS1,67.784599
LOC112438685,0.0
LOC134729175,0.160928
LYPLAL1,17.936472
LOC103785341,1.336167
LOC100970762,0.160724
SLC30A10,3.287146
LOC129397177,0.205951
LOC129397171,3.572198
LOC134728756,0.0
LOC103785342,0.0
RRP15,14.023121
TGFB2,72.684067
LOC134729178,9.986272
SPATA17,1.569012
GPATCH2,18.947849
ESRRG,7.636597
PTPN14,5.113232
LOC100993908,0.657488
CENPF,14.915201
LOC117977121,1.955499
LOC106634153,0.0
KCNK2,5.550776
SMYD2,9.264818
USH2A,0.243258
LOC130541237,0.0
LOC112438421,0.0
KCTD3,64.934555
LOC134729197,2.106359
RPS6KC1,24.958698
FLVCR1,14.735579
SPATA45,0.603444
TATDN3,7.296728
NSL1,27.977749
ANGEL2,20.071762
VASH2,29.33663
NENF,53.479637
LOC117977087,0.0
ATF3,27.495174
PROX1,6.138603
BATF3,3.233729
LOC112438337,0.0
PACC1,54.673851
LOC129397215,0.0
PPP2R5A,13.696651
LOC112438442,0.0
DTL,6.451493
INTS7,15.254545
LOC112438492,0.0
LOC106634186,0.005552
NEK2,11.443643
SLC30A1,13.338385
RD3,0.465217
LOC134729247,0.02248
LPGAT1,29.392624
LOC100979123,0.0
LOC117977075,0.171132
LOC100979921,0.16057
TRAF5,6.783939
RCOR3,33.433918
SERTAD4,15.108761
LOC100984080,1.685098
UTP25,11.20208
HSD11B1,0.515403
KCNH1,5.959214
HHAT,8.523564
LOC112438251,0.0
SYT14,12.877866
G0S2,0.903076
LOC129397262,0.0
CAMK1G,19.574854
LOC117977053,0.13447
LOC129394902,0.188531
LOC100993691,0.45695
LOC129397268,0.000814
LAMB3,1.042324
IRF6,0.078855
C1H1orf74,6.999975
TRAF3IP3,0.706568
LOC106634128,0.151629
LOC117977042,0.0
LOC130541276,0.0
LOC130541275,0.0
PLXNA2,28.493055
LOC117977035,1.131223
LOC129397272,0.0
CD34,11.354296
CR2,0.0
C4BPB,0.057536
LOC103783767,1.281893
MIR29B-2,0.025367
rna-NR_106558.1,0.013318
CD46,75.040314
CR1,0.030288
PFKFB2,9.290024
PIGR,0.009805
CD55,28.910643
LOC100968163,0.0
LOC100984709,0.055066
FCMR,0.0
MAPKAPK2,76.693016
LOC134729554,0.022176
DYRK3,30.558559
EIF2D,26.916058
RASSF5,2.209328
LOC106634022,1.427649
IL10,0.039421
IKBKE,5.152461
YOD1,1.280589
LOC112438702,0.0
IL19,0.0
AVPR1B,0.656112
CTSE,0.0
SLC26A9,0.164031
RAB7B,11.538095
LOC103786836,0.267192
SRGAP2,60.954632
FAM72A,1.698133
LOC134729273,0.414963
PM20D1,0.0
SLC41A1,59.405731
RAB29,27.532354
CDK18,7.914318
ELK4,7.055267
MFSD4A,3.579171
LOC112438323,0.0
LOC106634082,0.187669
NUCKS1,270.773438
LOC112438424,0.0
SLC45A3,7.942153
LOC130541294,5.891504
BLACAT1,22.909737
LEMD1,100.628212
LOC130541298,0.779108
TMCC2,36.669605
KLHDC8A,176.733063
LOC117976953,7.373751
NUAK2,22.831436
DSTYK,20.802624
TRNAK-UUU-3,1.407582
RBBP5,22.055336
TMEM81,4.605338
CNTN2,22.570166
NFASC,52.892689
LRRN2,114.185432
LOC134729305,0.328362
MDM4,5.82372
PIK3C2B,7.94485
PPP1R15B,59.854076
KISS1,0.371075
GOLT1A,0.0
LOC100970928,0.132877
ETNK2,44.105511
SOX13,5.374142
PLEKHA6,51.687946
SNRPE,95.711914
LAX1,0.036951
ZC3H11A,88.758827
LOC117976897,0.354751
LOC129397362,0.008078
ZBED6,16.454924
FMOD,1.077897
LOC117976873,0.0
LOC117976871,0.0
OPTC,0.630755
PRELP,11.587357
BTG2,42.741405
ADORA1,10.484617
LOC134729670,0.103095
CHIT1,0.0
CHI3L1,5.727407
MYBPH,0.215181
ATP2B4,74.686127
LOC112438542,1.340598
LOC100967245,48.113636
MYOG,0.117973
PPFIA4,13.697663
TMEM183A,70.152985
ADIPOR1,56.795132
RABIF,39.628716
KLHL12,51.822422
MGAT4E,0.771598
SYT2,0.964204
UBE2T,15.266688
LOC100974692,0.092437
KDM5B,147.482132
LOC112441004,3.600343
LGR6,0.120537
LOC112438714,0.0
LOC112438717,0.0
PPP1R12B,18.601089
LOC106634055,37.687817
GPR37L1,1.000374
ELF3,0.136049
PTPN7,0.0
ARL8A,149.096786
RNPEP,35.082905
TIMM17A,73.639076
LMOD1,0.792524
SHISA4,48.725956
IPO9,71.97541
CSRP1,42.445122
PHLDA3,19.017368
TNNT2,0.0
TNNI1,3.061569
IGFN1,0.02924
ASCL5,1.189803
TMEM9,149.381454
CACNA1S,0.16284
LOC100983915,1.714297
NAV1,68.963516
LOC100978719,0.0
LOC112438296,0.0
GPR25,0.066722
INAVA,7.414025
KIF21B,152.834091
DDX59,10.010753
KIF14,2.430732
CAMSAP2,58.275665
LOC100979740,0.041325
ZNF281,24.512047
NR5A2,0.191169
LOC112438365,0.0
LOC130541328,0.008373
LOC130541329,0.0
ATP6V1G3,0.0
PTPRC,0.0
NEK7,17.846598
C1H1orf53,3.57196
LHX9,26.375267
DENND1B,5.317699
CRB1,20.962418
LOC117976651,0.048823
F13B,0.0
CFHR5,0.0
ZBTB41,19.749985
ASPM,4.74876
LOC134729391,0.165677
LOC134728364,0.219116
CFH,0.522052
LOC134729382,0.266699
LOC117976610,0.0
LOC134729393,0.0
LOC100970229,25.475126
LOC129397425,0.0
KCNT2,7.828658
GLRX2,3.932008
CDC73,15.931286
B3GALT2,4.956938
LOC117976607,0.12693
RGS1,0.0
RGS2,13.353585
LOC130541351,0.0
RO60,30.561169
UCHL5,20.112783
LOC112438748,0.0
PTGS2,0.266408
LOC134729399,0.0
PLA2G4A,1.690263
LOC130541352,2.673606
BRINP3,23.497913
LOC134729400,0.0
ODR4,13.883801
PDC,0.088888
TPR,49.462307
PRG4,0.279504
LOC112438334,1.052652
HMCN1,5.418009
LOC129397441,0.0
LOC130541355,0.0
IVNS1ABP,77.767326
SWT1,8.657738
TRMT1L,12.568419
RNF2,54.184555
NIBAN1,5.798721
LOC112438391,0.0
EDEM3,8.080954
LOC117976536,0.087252
TSEN15,40.866405
C1H1orf21,15.241643
LOC117976537,1.601481
NCF2,0.165453
COLGALT2,21.819923
RGL1,17.674564
LOC134730192,0.010736
APOBEC4,0.0
ARPC5,220.333603
SMG7,65.933716
LAMC2,0.694381
NMNAT2,132.215881
LAMC1,74.65464
LOC117976507,0.0
NPL,2.152235
RGS8,20.76898
RGS16,26.312851
RNASEL,7.03278
TEDDM1,0.0
SHCBP1L,0.0
LOC100973056,5.070827
DHX9,186.17627
LOC129397483,4.002663
LOC100976955,1.040857
LOC112438290,0.0
ZNF648,0.416522
LOC129397512,0.114683
LOC117976491,0.059426
GLUL,276.688538
LOC117976481,0.0
CACNA1E,12.043377
LOC134728765,0.0
LHX4,0.966194
ACBD6,27.293657
QSOX1,94.690674
CEP350,15.322675
IER5,29.816843
LOC100972084,3.053877
STX6,41.111652
LOC117976478,0.0
KIAA1614,1.365378
XPR1,360.416473
LOC112438260,0.229757
TOR1AIP1,35.726513
LOC100994085,1.49762
LOC100995923,9.85979
LOC106633937,11.103541
TDRD5,0.0
LOC134730253,81.797401
NPHS2,0.0
AXDND1,0.193819
SOAT1,16.629734
ABL2,13.302925
LOC112438449,0.0
LOC112438450,0.0
TOR3A,12.697001
FAM20B,53.588039
LOC117976422,0.86353
RALGPS2,43.234379
ANGPTL1,19.8197
LOC106633884,0.518986
SEC16B,0.861932
LOC117976408,1.040801
LOC130541414,0.0
CLEC20A,0.0
RASAL2,19.969015
LOC112441161,7.739597
LOC129397566,0.29375
KIAA0040,0.262449
TNN,0.620102
TNR,6.381217
LOC117976374,8.551991
MRPS14,40.073879
CACYBP,101.0718
RABGAP1L,24.777605
GPR52,0.244456
LOC112438695,0.0
BRINP2,66.931129
ASTN1,115.379059
PAPPA2,4.4218
LOC100984026,0.107638
LOC112438408,0.0
COP1,11.797517
LOC112438490,0.0
SLC9C2,0.247023
KLHL20,7.270416
ANKRD45,11.354741
LOC112438706,0.0
TEX50,0.0
RC3H1,9.813343
SERPINC1,0.0
ZBTB37,5.570662
LOC134730281,579.242188
LOC112438459,2.244064
LOC112438608,2.704883
LOC112438416,1.662982
LOC112438520,6.736317
LOC112438461,11.161676
LOC112438531,0.738703
LOC112438426,10.676427
LOC112438462,7.202351
LOC112438457,20.528261
LOC112438422,13.544162
DARS2,7.35138
CENPL,4.144595
TNFSF18,0.257262
PRDX6,140.575562
TNFSF4,1.435282
LOC100977527,0.123103
SUCO,88.986015
LOC103787134,0.0
LOC100969813,0.554353
METTL13,8.775147
MYOCOS,0.124308
VAMP4,14.116364
C1H1orf105,0.0
PIGC,55.891251
DNM3,31.354366
LOC112438285,0.0
LOC117976300,1.338158
MIR199A,0.017381
rna-NR_106575.1,0.009392
MIR214,0.000273
rna-NR_106578.1,0.0
FMO4,1.158675
LOC130541443,1.010997
FMO3,0.160877
FMO2,1.201071
FMO1,38.696014
PRRC2C,60.004776
LOC112438342,0.0
NTMT2,0.400534
PRRX1,34.233421
GORAB,16.614706
LOC130541446,0.197034
LOC117976238,1.041553
SELL,0.377153
SELP,0.0
KIFAP3,159.875641
SCYL3,18.508394
LOC106633951,1.519075
FIRRM,6.954144
METTL18,4.846257
F5,0.318847
SLC19A2,12.980378
CCDC181,12.407591
LOC100978961,17.143766
LOC100978630,5.313293
SFT2D2,20.53454
LOC112438300,0.0
TIPRL,99.692719
BLZF1,18.473354
NME7,32.348515
LOC134730331,0.0
ATP1B1,252.561157
DPT,4.910113
LOC130541456,0.0
GPR161,43.3554
ADCY10,0.09461
DCAF6,41.239002
LOC134730372,90.790894
MPC2,118.05542
RCSD1,0.0
CREG1,95.524094
MPZL1,138.376022
