GeneID,SRR7885667,SRR7885671
ACTL10,0.373789,0.040405
ACTL6A,58.662685,70.980911
ACTL6B,106.881767,131.788361
ACTL7A,0.001721,0.0
ACTL7B,0.0,0.04717
ACTL8,0.187208,0.0
ACTL9,0.0,0.0
ACTMAP,12.655045,10.513153
ACTN1,43.477077,34.531086
ACTN2,1.947515,5.825638
ACTN3,0.995202,0.132652
ACTN4,87.255516,88.852753
ACTR10,183.189011,194.281357
ACTR1A,224.112549,253.247986
ACTR1B,102.388931,87.494888
ACTR2,120.763481,95.420647
ACTR3,131.432571,161.720978
ACTR3B,42.317631,36.843433
ACTR3C,6.142402,5.418642
ACTR5,5.917233,8.845925
ACTR6,39.552025,55.082779
ACTR8,27.379673,34.318542
ACTRT2,0.034201,0.0
ACTRT3,1.015318,0.24064
ACVR1,30.661039,119.870903
ACVR1B,59.724575,56.401104
ACVR1C,0.271584,1.463675
ACVR2A,38.449707,12.705793
ACVR2B,25.214384,21.406759
ACVRL1,0.0,0.0
ACY1,18.069702,11.585275
ACY3,0.0,0.0
ACYP1,36.45343,19.366064
ACYP2,24.419937,25.550962
ADA,7.396801,3.336769
ADA2,0.342546,0.1119
ADAD1,0.0,0.0
ADAD2,0.0,0.0
ADAM10,69.112549,63.107857
ADAM11,11.976014,2.999739
ADAM12,12.295496,1.86324
ADAM15,37.399414,22.457897
ADAM17,61.00993,39.044521
ADAM18,0.0,0.0
ADAM19,10.215361,2.272766
ADAM2,0.0,0.0
ADAM22,10.624049,19.377262
ADAM23,14.769373,5.77562
ADAM28,0.0,0.0
ADAM29,0.405736,0.091536
ADAM30,0.0,0.002377
ADAM33,0.184444,0.060863
ADAM7,0.0,0.0
ADAM8,1.32419,1.557502
ADAM9,74.498909,76.284149
ADAMDEC1,0.0,0.0
ADAMTS1,17.010147,0.364197
ADAMTS10,27.155743,37.427071
ADAMTS12,16.500408,1.145864
ADAMTS13,2.345604,1.79774
ADAMTS14,2.009175,0.2647
ADAMTS15,9.80759,1.591093
ADAMTS16,6.638566,1.879897
ADAMTS17,1.88356,0.341441
ADAMTS18,3.005015,0.556406
ADAMTS19,1.599737,0.183885
ADAMTS2,2.923667,0.320378
ADAMTS20,0.206013,0.199496
ADAMTS3,19.987947,32.999382
ADAMTS4,2.240497,1.282953
ADAMTS5,1.58815,0.159366
ADAMTS6,4.443005,2.925032
ADAMTS7,27.921738,34.318386
ADAMTS8,0.858912,0.382235
ADAMTS9,19.690575,3.089384
ADAMTSL1,6.629035,5.098438
ADAMTSL2,0.609789,0.0
ADAMTSL3,0.298655,0.0
ADAMTSL4,1.340106,0.425766
ADAMTSL5,0.211746,0.082982
ADAP1,26.965397,12.489291
ADAP2,0.630944,0.107022
ADAR,119.816788,138.572144
ADARB1,13.433629,9.588159
ADARB2,4.576452,1.563463
ADAT1,20.71859,21.633837
ADAT2,2.630837,2.682443
ADAT3,1.835322,1.852864
ADCK1,14.780524,11.163802
ADCK2,22.766592,16.566235
ADCK5,7.558764,7.814686
ADCY1,27.966932,7.773829
ADCY10,0.029501,0.0
ADCY2,27.722702,32.160851
ADCY3,9.813334,6.413839
ADCY4,0.331765,0.0
ADCY5,18.817625,14.454082
ADCY6,24.934093,22.848759
ADCY7,4.18586,2.03672
ADCY8,2.414471,2.939476
ADCY9,10.100696,5.544184
ADCYAP1,7.277128,0.0
ADCYAP1R1,52.671474,25.778999
ADD1,262.028503,329.204559
ADD2,61.87838,52.836678
ADD3,112.284149,102.97776
ADGB,0.178223,0.015444
ADGRA1,3.044672,0.180289
ADGRA2,11.689796,2.339283
ADGRA3,40.318989,65.694008
ADGRB1,21.045137,71.760216
ADGRB2,57.061512,58.377022
ADGRB3,30.786604,23.378847
ADGRD1,2.250085,0.0
ADGRD2,0.0,0.0
ADGRE1,0.0,0.0
ADGRE3,0.0,0.0
ADGRE5,0.810875,0.283542
ADGRF1,0.0,0.0
ADGRF3,0.509439,0.212862
ADGRF4,0.0,0.0
ADGRF5,0.167282,0.0
ADGRG1,196.567261,113.779381
ADGRG2,0.848883,0.355927
ADGRG3,0.0,0.307993
ADGRG4,0.021573,0.020826
ADGRG5,0.0,0.0
ADGRG6,5.149042,0.487435
ADGRG7,0.0,0.0
ADGRL1,54.941906,53.374512
ADGRL2,55.751781,18.123663
ADGRL3,42.719185,36.22176
ADGRL4,0.080693,0.179311
ADGRV1,25.924402,15.253652
ADH1B,2.341049,0.0
ADH4,0.0,0.98477
ADH5,140.709183,221.791672
ADH6,0.125479,0.093686
ADH7,0.0,0.0
ADHFE1,8.730441,5.128842
ADI1,89.71022,131.71933
ADIG,0.0,0.0
ADIPOQ,0.0,0.0
ADIPOR1,74.285774,101.271133
ADIPOR2,60.900856,59.7234
ADIRF,0.107668,0.0
ADISSP,45.469398,41.223423
ADK,35.60664,63.766972
ADM,1.487224,0.64136
ADM2,2.014135,0.324547
ADM5,1.162344,1.551632
ADNP,122.491646,126.055168
ADNP2,26.019968,28.729652
ADO,27.346426,35.528812
ADORA1,8.838147,2.181862
ADORA2A,1.311484,1.767679
ADORA2B,7.923026,3.923784
ADPGK,28.681654,33.689774
ADPRH,1.25502,0.335594
ADPRHL1,2.503143,1.918104
ADPRM,16.819025,19.63176
ADPRS,43.764057,54.60931
ADRA1A,1.035316,0.520596
ADRA1B,1.614524,0.063544
ADRA1D,1.197419,0.051799
ADRA2A,12.72519,1.060982
ADRA2B,0.036358,0.022003
ADRA2C,1.724181,0.225992
ADRB1,0.044863,0.062704
ADRB2,1.718367,0.389636
ADRB3,0.0,0.0
ADRM1,90.102699,105.677628
ADSL,54.780533,58.068428
ADSS1,13.289531,5.356385
ADSS2,41.650913,19.82501
ADTRP,0.193128,0.0
AEBP1,42.07217,8.998566
AEBP2,22.522312,21.563385
AEN,20.877501,31.096874
AFAP1,58.061668,64.714951
AFAP1L1,0.342436,0.225097
AFAP1L2,2.34243,0.391018
AFDN,72.443192,95.440308
AFF1,6.720899,4.598379
AFF2,16.59096,8.122423
AFF3,21.244541,17.965843
AFF4,91.691353,103.66555
AFG1L,2.565102,1.370726
AFG2A,4.151105,6.77713
AFG2B,11.221378,22.690628
AFG3L2,46.443741,33.99688
AFM,0.072366,0.0
AFMID,13.939501,11.015112
AFP,0.373925,0.162101
AFTPH,30.740818,40.0406
AGA,15.388275,8.619975
AGAP1,36.596657,28.48251
AGAP2,55.592957,42.111538
AGAP3,65.071541,67.578407
AGAP5,3.040345,4.586103
AGAP6,2.736976,3.192072
AGBL1,0.156181,0.326064
AGBL2,0.9903,0.605314
AGBL3,0.540009,0.164958
AGBL5,49.491688,47.8736
AGER,7.22333,11.400485
AGFG1,34.85899,36.474312
AGFG2,4.541257,2.695662
AGGF1,40.815796,41.809883
AGK,27.270123,21.579939
AGL,16.248077,17.781963
AGMAT,0.17392,0.175345
AGMO,0.053928,0.114755
AGO2,13.795307,16.101467
AGO3,4.900567,6.469673
AGPAT1,129.77356,121.112442
AGPAT2,7.225223,2.318049
AGPAT3,27.02545,30.391148
AGPAT4,28.437048,54.209209
AGPAT5,76.447876,78.913795
AGPS,16.077454,14.969775
AGR2,0.189534,0.198984
AGR3,0.0,0.0
AGRN,105.867035,51.026093
AGRP,0.0,0.0
AGT,35.597298,1.503774
AGTPBP1,39.334839,21.425655
AGTR1,1.428571,0.73745
AGTR2,1.900691,0.0
AGTRAP,21.017939,9.730961
AGXT,0.0,0.0
AGXT2,0.0,0.0
AHCTF1,23.662769,26.820879
AHCY,143.773239,111.314331
AHCYL1,84.499489,86.523537
AHCYL2,37.907536,38.601566
AHDC1,31.016565,26.76807
AHI1,22.655432,14.192565
AHNAK,27.820389,6.257467
AHNAK2,4.66557,1.034936
AHR,6.249351,2.560559
AHRR,0.649471,1.166545
AHSA1,120.570663,158.640717
AHSA2P,25.399641,17.903502
AHSG,0.609072,0.632098
AHSP,0.0,0.0
AICDA,0.011763,0.016327
AIDA,61.880829,72.08255
AIF1,0.220881,0.0
AIF1L,45.413742,75.461395
AIFM1,20.462252,22.653051
AIFM2,2.378233,3.00506
AIFM3,3.776587,0.86204
AIG1,53.221867,30.542416
AIM2,4.001562,1.47998
AIMP1,38.008034,36.420265
AIMP2,65.507362,70.096115
AIP,60.564953,75.102463
AIPL1,0.143727,0.0
AIRE,0.0,0.0
AIRIM,10.194886,11.09615
AJAP1,10.598623,1.564546
AJM1,4.79779,3.875756
AJUBA,20.943727,4.812387
AK1,150.380951,152.973022
AK2,35.611977,20.854118
AK3,66.11853,49.162651
AK4,3.542182,1.258796
AK5,11.994651,3.803297
AK6,31.015116,30.768908
AK7,11.896977,2.122269
