GeneID,SRR7885633,SRR7885642,SRR7885643
GOLGA6L5P,5.281634,6.503242,6.928997
GOLGA6L6,0.022572,0.0,0.0
GOLGA6L7,0.0,0.28866,0.128884
GOLGA6L9,9.931456,9.132405,9.255882
GOLGA7,70.687538,110.219017,104.03791
GOLGA7B,2.155942,10.889912,10.958303
GOLGA7B-DT,0.0,0.0,0.0
GOLGA8A,37.449738,81.102081,80.064941
GOLGA8B,26.256941,83.248543,83.450035
GOLGA8CP,0.0596,0.16818,0.033645
GOLGA8DP,0.053215,0.166375,0.155866
GOLGA8EP,0.051953,0.084685,0.097323
GOLGA8F,0.054429,0.080063,0.085356
GOLGA8G,0.062346,0.078867,0.094295
GOLGA8H,1.727122,0.749095,0.84385
GOLGA8IP,0.565375,0.398284,0.23378
GOLGA8J,1.44932,0.573382,0.704912
GOLGA8K,1.431875,0.850775,0.757249
GOLGA8M,0.889172,0.423675,0.468016
GOLGA8N,1.340766,1.722177,1.812019
GOLGA8O,1.317763,1.042904,1.072762
GOLGA8Q,1.205622,1.421678,1.448827
GOLGA8R,1.316469,1.356586,1.066135
GOLGA8S,0.55948,0.317118,0.315668
GOLGA8T,2.090132,1.055669,1.284396
GOLGB1,47.637939,47.479401,49.134895
GOLIM4,55.30212,33.96154,33.426315
GOLM1,110.694397,151.69281,152.827957
GOLM2,50.811344,76.065849,76.774452
GOLPH3,150.327545,89.913193,89.360649
GOLPH3L,8.915089,8.374254,8.723956
GOLT1A,0.775564,0.0,0.624109
GOLT1B,82.391365,33.428253,32.453011
GON4L,44.974239,47.12077,48.813465
GON7,12.549359,17.553633,19.594198
GOPC,24.656395,38.180721,38.941254
GORAB,11.733879,13.127277,11.913516
GORAB-AS1,0.0,0.73234,0.94298
GORASP1,41.433037,69.076263,67.21537
GORASP2,219.436493,131.876602,126.820656
GOSR1,30.832949,23.41345,23.64131
GOSR2,84.133797,68.432373,67.301102
GOSR2-DT,1.17487,1.435007,1.129581
GOT1,65.437508,98.27211,102.807739
GOT1-DT,1.609246,2.590317,2.780341
GOT1L1,0.0,0.0,0.0
GOT2,106.156914,147.89827,147.792053
GP1BA,2.900564,1.463452,1.118267
GP1BB,0.704013,7.347177,9.617187
GP2,0.0,0.0,0.0
