GeneID,SRR8750637,SRR8750669,SRR8750701
PCSK1,75.488068,31.096663,33.62587
PCSK1N,1532.228882,1413.690308,1210.727173
PCSK2,92.512177,62.975002,76.025177
PCSK4,7.727908,7.371006,14.324722
PCSK5,3.252776,2.265834,2.007763
PCSK6,8.812718,6.210042,7.084224
PCSK7,18.760025,14.970642,21.525696
PCSK9,0.058946,0.0,0.297585
PCTP,6.602089,7.032755,2.541171
PCYOX1,32.2579,27.888952,29.435217
PCYOX1L,16.175873,13.236929,28.113934
PCYT1A,21.049217,19.777754,24.757565
PCYT1B,10.255233,8.319495,7.00709
PCYT2,119.769562,99.507683,131.648026
PDAP1,218.18959,177.10408,290.494324
PDC,0.0,0.0,1.381837
PDCD1,0.498114,0.0,0.827616
PDCD10,41.478676,50.059071,45.208508
PDCD11,13.838138,12.872802,15.431416
PDCD1LG2,0.0,1.097115,1.248113
PDCD2,4.262008,3.892814,8.175518
PDCD2L,16.946028,14.0387,19.72624
PDCD4,26.767103,32.647381,33.081821
PDCD5,93.111229,96.64608,147.73793
PDCD6,140.97052,133.846664,145.671997
PDCD6IP,26.217497,22.733702,41.675323
