GeneID,SRR8750397,SRR8750398,SRR8750399
ACMSD,0.252792,1.747939,0.298993
ACO1,22.662176,11.565968,18.264233
ACO2,424.46698,233.541168,317.301514
ACOD1,4.216743,1.182428,1.779421
ACOT11,6.64708,4.357907,5.295669
ACOT12,0.193163,0.091501,0.285882
ACOT13,75.862732,43.018494,96.42318
ACOT2,18.177011,14.734887,15.267267
ACOT4,0.694029,2.710113,0.790088
ACOT6,1.130961,2.910053,0.780196
ACOT7,245.539688,171.804092,107.81601
ACOT8,61.640427,48.411537,41.032383
ACOT9,13.920239,34.89666,12.298349
ACOX1,25.863035,18.894142,19.682354
ACOX2,1.373688,0.326824,0.0
ACOX3,7.544475,4.85744,4.020435
ACOXL,3.115777,1.425274,0.374247
ACP1,124.782341,135.489761,88.862396
ACP2,73.136017,72.493767,36.038055
ACP3,0.723272,1.408598,0.613035
ACP4,0.253719,3.10365,0.18155
ACP5,1.214833,2.156332,0.209725
ACP6,16.268267,8.316187,18.342091
ACP7,1.224907,2.180815,0.500537
ACR,0.0,0.295572,0.0
ACRBP,10.442423,10.428185,4.539053
ACRV1,1.085898,2.775584,0.468931
ACSBG1,19.990459,2.887933,34.270737
ACSBG2,0.588427,3.254644,0.498887
ACSF2,8.673784,4.002034,10.880116
ACSF3,20.431057,18.163544,15.349603
ACSL1,18.881853,108.477219,18.760979
ACSL3,79.67247,59.26384,55.967392
ACSL4,45.600185,40.735569,26.276892
ACSL5,4.034576,5.452406,2.120103
ACSL6,59.988022,23.790726,44.211224
ACSM3,0.219221,0.737487,0.0
ACSM4,0.229066,1.010594,0.0
ACSM5,2.057185,1.395627,2.287741
ACSM6,0.271225,1.435935,0.251703
ACSS1,34.605698,7.613142,36.973171
ACSS2,19.96406,15.826022,16.949924
ACSS3,9.602711,2.459879,29.400492
ACTA1,4.982008,5.992602,1.925844
ACTA2,35.476566,7.834732,3.032335
ACTB,1849.417236,2130.800537,1346.672485
ACTBL2,0.0,0.0,0.0
ACTG1,1596.183472,1720.936523,1049.27002
ACTG2,6.558214,2.29126,0.0
ACTL10,0.182637,0.557537,0.320685
ACTL6A,5.560272,6.238648,6.019021
ACTL6B,76.148766,71.172691,40.975708
ACTL7A,0.0,0.0,0.0
ACTL7B,0.442421,1.03369,0.0
ACTL8,0.144127,1.840485,0.0
ACTL9,0.0,0.0,0.0
ACTMAP,7.026985,2.668659,7.864064
ACTN1,160.244217,83.361031,35.019218
ACTN2,57.277191,39.94297,22.330667
ACTN3,0.357771,0.611551,0.117555
ACTN4,176.769501,107.362587,84.568405
ACTR10,91.071335,96.582344,70.602829
ACTR1A,175.994141,117.89975,133.112259
ACTR1B,209.766022,103.309395,108.071152
ACTR2,89.732918,76.594513,55.154472
ACTR3,33.68438,38.027172,25.181629
ACTR3B,161.605103,120.421425,88.434578
ACTR3C,3.965305,5.452706,4.53224
ACTR3C,3.965305,5.452706,1.909812
ACTR3C,3.965305,3.395366,4.53224
ACTR3C,3.965305,3.395366,1.909812
ACTR3C,3.678647,5.452706,4.53224
ACTR3C,3.678647,5.452706,1.909812
ACTR3C,3.678647,3.395366,4.53224
ACTR3C,3.678647,3.395366,1.909812
ACTR5,7.948861,7.564655,3.429306
ACTR6,27.691334,46.035572,41.520737
ACTR8,14.343775,10.47401,7.841118
ACTRT1,0.0,0.903502,0.0
ACTRT2,0.0,0.0,0.0
ACTRT3,4.813427,2.812488,2.084317
ACVR1,23.049042,16.478813,13.996325
ACVR1B,54.82523,42.083584,23.022488
ACVR1C,6.403718,2.533962,1.700966
ACVR2A,13.675735,13.737115,13.102536
ACVR2B,4.291653,3.519001,2.42321
ACVRL1,10.802153,4.633834,5.842592
ACY1,19.691088,13.274714,22.850748
ACY3,8.815071,6.497985,9.619593
ACYP1,48.390102,62.27977,35.322227
ACYP2,84.95787,70.59478,104.188927
ADA,4.534025,6.394124,10.597856
ADA2,4.422941,26.664795,5.129269
ADAD1,0.0,1.920238,0.0
ADAD2,0.0,1.462482,0.248586
ADAL,13.652786,8.012158,8.968674
ADAM10,31.956444,26.710321,26.756517
ADAM11,102.023918,58.459469,34.299519
ADAM12,1.666738,2.750377,0.0
ADAM15,45.786682,45.490803,28.630135
ADAM17,11.519279,6.825367,5.517226
ADAM19,8.432911,7.308466,3.264301
ADAM2,0.07805,1.453691,0.0
ADAM21,0.344948,0.311459,0.204091
ADAM22,45.748051,34.166229,21.661434
ADAM23,55.809078,31.526356,25.555119
ADAM28,2.668448,14.434426,2.279991
ADAM29,0.041664,0.063791,0.0
ADAM30,0.064297,1.096942,0.037666
ADAM32,1.060255,2.382959,0.499358
ADAM33,17.722168,5.598959,3.68451
ADAM7,0.0,0.032937,0.035387
ADAM8,1.049952,2.459098,0.0
ADAM9,33.869064,27.147884,16.333254
ADAMDEC1,0.347608,3.767859,0.803906
ADAMTS1,8.458899,15.595462,22.952627
ADAMTS10,18.087339,21.571754,17.83544
ADAMTS12,0.341059,0.58207,0.048977
ADAMTS13,11.009773,11.432261,4.678615
ADAMTS14,0.974249,0.363318,1.325483
ADAMTS15,2.003859,2.672951,0.511236
ADAMTS16,1.563302,2.099331,0.835301
ADAMTS17,1.097929,1.737794,0.794074
ADAMTS18,0.148048,1.005172,0.0
ADAMTS19,1.023236,3.516745,0.581656
ADAMTS2,1.850032,1.630842,0.146666
ADAMTS20,0.056538,0.212272,0.116658
ADAMTS3,4.257462,0.989359,1.095916
ADAMTS4,1.762103,8.263399,6.341026
ADAMTS5,0.737955,1.172277,0.727386
ADAMTS6,0.469554,1.478089,0.54146
ADAMTS7,0.330676,0.812128,0.280914
ADAMTS8,31.485172,36.750961,9.833241
ADAMTS9,2.383819,6.430971,3.338154
ADAMTSL1,3.000161,1.657092,1.126034
ADAMTSL2,26.984814,22.975826,19.790358
ADAMTSL3,4.135151,3.855876,0.288156
ADAMTSL4,3.338609,5.089119,0.736937
ADAMTSL5,1.037165,0.938991,0.424071
ADAP1,218.156967,184.895874,265.299774
ADAP2,4.78141,10.126906,4.83351
