GeneID,SRR6190102,SRR6190108,SRR6190114
ACOT11,0.0,0.0,0.392177
ACOT12,0.0,0.0,0.0
ACOT13,14.626802,12.473281,13.374266
ACOT2,16.196054,10.628522,21.144676
ACOT4,0.0,0.0,0.0
ACOT6,0.0,0.0,0.075851
ACOT7,34.167351,12.793805,28.011507
ACOT8,25.405245,22.218725,28.683662
ACOT9,73.359322,66.303787,81.459213
ACOX1,59.187992,73.121758,69.071075
ACOX2,0.0,0.0,0.0
ACOX3,9.689673,10.899328,8.690263
ACOXL,0.0,0.0,0.0
ACP1,108.348709,72.891991,99.623016
ACP2,61.654217,61.752304,56.950768
ACP3,0.0,0.0,0.0
ACP4,0.0,0.0,0.0
ACP5,3.162862,1.870711,1.182664
ACP6,1.7521,3.657415,2.021568
ACP7,0.203256,0.0,0.08837
ACR,0.0,0.0,0.0
ACRBP,30.989508,18.335451,21.440838
ACRV1,0.743019,0.526676,0.995221
ACSBG1,0.510635,1.265368,0.567823
ACSBG2,0.2438,0.0,0.235507
ACSF2,10.401439,13.644619,8.009301
ACSF3,9.898279,12.569577,16.512726
ACSL1,30.889935,27.34392,28.178041
ACSL3,58.173233,74.497528,81.71553
ACSL4,114.147202,89.822395,100.006126
ACSL5,2.751429,0.348904,0.66137
ACSL6,0.0,0.0,0.0
ACSM3,0.224182,0.0,0.100713
ACSM4,0.0,0.0,0.0
ACSM5,0.0,0.0,0.0
ACSM6,0.0,0.0,0.0
ACSS1,8.570374,8.046662,10.584176
ACSS2,24.351686,23.212868,20.161684
ACSS3,7.905322,4.030334,2.205134
ACTA1,0.0,0.0,0.0
ACTA2,354.534302,187.142273,416.884766
ACTB,5465.602051,4514.124023,5313.713379
ACTBL2,0.0,0.146794,0.116341
ACTG1,13716.878906,14078.068359,15139.526367
ACTG2,0.976664,0.0,0.0
ACTL10,0.22845,0.902323,0.446957
ACTL6A,45.463329,45.463478,43.143707
ACTL6B,0.0,0.0,0.0
ACTL7A,0.0,0.0,0.0
ACTL7B,0.0,0.0,0.0
ACTL8,0.0,0.0,0.0
ACTL9,0.0,0.0,0.0
ACTMAP,25.261429,55.636826,49.715023
ACTN1,638.590027,795.337341,579.554199
ACTN2,0.0,0.0,0.0
ACTN3,0.601437,0.188594,0.0
ACTN4,565.89386,407.975769,445.201508
ACTR10,112.535393,112.965576,112.693542
ACTR1A,169.207916,163.003448,191.619202
ACTR1B,39.27179,37.710129,46.605152
ACTR2,346.888885,292.916382,298.026154
ACTR3,209.862534,228.499634,234.738373
ACTR3B,2.829198,5.35259,4.235103
ACTR3C,0.0,0.374367,1.075766
ACTR3C,0.0,0.374367,0.0
ACTR3C,0.0,2.359852,1.075766
ACTR3C,0.0,2.359852,0.0
ACTR3C,0.969011,0.374367,1.075766
ACTR3C,0.969011,0.374367,0.0
ACTR3C,0.969011,2.359852,1.075766
ACTR3C,0.969011,2.359852,0.0
ACTR5,5.569001,2.401783,5.401228
ACTR6,14.190209,9.405165,15.482203
ACTR8,12.341558,14.963544,13.333964
ACTRT1,0.0,0.0,0.0
ACTRT2,0.0,0.0,0.0
